,gene_id,TCGA-OR-A5J1-01A-11R-A29S-07,TCGA-OR-A5J2-01A-11R-A29S-07,TCGA-OR-A5J3-01A-11R-A29S-07,TCGA-OR-A5J5-01A-11R-A29S-07,TCGA-OR-A5J6-01A-31R-A29S-07,TCGA-OR-A5J7-01A-11R-A29S-07,TCGA-OR-A5J8-01A-11R-A29S-07,TCGA-OR-A5J9-01A-11R-A29S-07,TCGA-OR-A5JA-01A-11R-A29S-07,TCGA-OR-A5JB-01A-11R-A29S-07,TCGA-OR-A5JC-01A-11R-A29S-07,TCGA-OR-A5JD-01A-11R-A29S-07,TCGA-OR-A5JE-01A-11R-A29S-07,TCGA-OR-A5JF-01A-11R-A29S-07,TCGA-OR-A5JG-01A-11R-A29S-07,TCGA-OR-A5JI-01A-11R-A29S-07,TCGA-OR-A5JJ-01A-11R-A29S-07,TCGA-OR-A5JK-01A-11R-A29S-07,TCGA-OR-A5JL-01A-11R-A29S-07,TCGA-OR-A5JM-01A-11R-A29S-07,TCGA-OR-A5JO-01A-11R-A29S-07,TCGA-OR-A5JP-01A-11R-A29S-07,TCGA-OR-A5JQ-01A-11R-A29S-07,TCGA-OR-A5JR-01A-11R-A29S-07,TCGA-OR-A5JS-01A-11R-A29S-07,TCGA-OR-A5JT-01A-11R-A29S-07,TCGA-OR-A5JV-01A-11R-A29S-07,TCGA-OR-A5JW-01A-11R-A29S-07,TCGA-OR-A5JX-01A-11R-A29S-07,TCGA-OR-A5JY-01A-31R-A29S-07,TCGA-OR-A5JZ-01A-11R-A29S-07,TCGA-OR-A5K0-01A-11R-A29S-07,TCGA-OR-A5K1-01A-11R-A29S-07,TCGA-OR-A5K2-01A-11R-A29S-07,TCGA-OR-A5K3-01A-11R-A29S-07,TCGA-OR-A5K4-01A-11R-A29S-07,TCGA-OR-A5K5-01A-11R-A29S-07,TCGA-OR-A5K6-01A-11R-A29S-07,TCGA-OR-A5K8-01A-11R-A29S-07,TCGA-OR-A5K9-01A-11R-A29S-07,TCGA-OR-A5KO-01A-11R-A29S-07,TCGA-OR-A5KT-01A-11R-A29S-07,TCGA-OR-A5KU-01A-11R-A29S-07,TCGA-OR-A5KV-01A-11R-A29S-07,TCGA-OR-A5KW-01A-11R-A29S-07,TCGA-OR-A5KX-01A-11R-A29S-07,TCGA-OR-A5KY-01A-11R-A29S-07,TCGA-OR-A5KZ-01A-11R-A29S-07,TCGA-OR-A5L3-01A-11R-A29S-07
303,ADAMTS19|171019,6.244,0.0,0.0,7.7459,0.0,0.0,0.0,0.0,0.5285,0.0,0.0,1.8204,0.0,0.7723,0.5374,0.0,112.896,0.0,0.0,0.8621,0.0,0.0,0.3981,0.0,0.0,0.4738,0.0,0.4388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0424,0.0,2.0192,1.4514,243.624,19.6813,0.0,0.0,0.3857,1.6201,0.0,5.3127,100.0,0.0
304,ADAMTS1|9510,377.041,1453.5,777.959,48.7994,310.724,738.468,1857.85,426.675,1266.38,228.584,491.094,785.194,436.652,690.028,655.112,288.622,1436.86,762.014,481.09,762.069,1992.29,968.819,330.845,563.38,801.702,343.48,916.406999999999,306.275,387.222,823.556,388.917,66.0677,1278.58,1080.54,455.369,140.627,2201.65,290.257,412.192,643.799,394.096,1055.88,220.519,314.308,604.293,216.061,1289.21,1964.24,188.616
305,ADAMTS20|80070,0.0,1.6105,24.8852,1.5492,0.0,0.4011,0.4144,0.0,0.0,0.0,1.2723,0.6068,0.0,0.0,0.5374,0.0,0.0,2.2883,0.0,0.0,0.0,0.4392,0.0,0.0,0.37,0.4738,0.5192,0.0,0.0,0.4478,0.0,0.5285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9503,0.0,0.0,0.0
306,ADAMTS2|9509,9.1258,58.784,44.4379,37.9551,15.0891,37.3045,905.097000000001,4.4197,25.37,50.3509,24.173,6.6748,21.4932,49.4256,35.4696,27.7521,12.9407,16.7811,13.6246,20.2586,40.4936,37.3298,76.4407,2.3474,36.256,113.23,105.4,26.3273,14.2695,68.5177,65.1553,4.2283,46.3735,13.8199,5.1746,3.9219,20.2113,15.1439,15.9652,14.9516,34.6767,232.177,27.6584,42.8076,76.6842,3.3461,65.0802,60.0,23.4375
307,ADAMTS3|9508,294.909,116.36,130.351,422.928,1.1177,125.953,16.5769,99.6142,197.146,0.4456,94.7837,205.097,141.403,90.7423,88.6739,291.397,417.224,173.15,622.034,83.1897,164.134,646.025,197.074,528.169,61.7832,678.432,292.316,58.7977,252.959,721.003,162.553,32.7696,184.666,67.3721,129.366,758.043,13.3211,67.1378,248.186,249.34,168.229,104.046,168.94,128.037,166.329,248.088,161.151,387.879,45.7589
308,ADAMTS4|9507,130.163,649.845,420.678,110.767,100.035,590.453,2464.98,188.009,1020.61,498.608,119.593,182.646,312.217,183.802,849.12,145.236,80.3213,300.534,456.66,288.793,481.604,754.501,258.386,342.723,680.355,391.804,1638.63,160.158,379.439,612.181,589.085,84.0381,1459.11,1039.08,461.837,194.413,141.938,570.419,377.358,436.236,525.773,719.653,122.594,156.961,282.976,379.541,486.995,1041.82,299.107
309,ADAMTS5|11096,19.6926,107.502,158.199,39.5043,31.296,118.733,317.447,37.0578,93.5518,106.049,235.369,18.2039,91.0633,46.7227,68.252,170.213,65.5957,90.7704,143.293,37.069,228.384,518.226,76.4407,93.8967,93.9697,38.375,76.324,31.154,62.9155,161.218,364.736,12.1564,112.621,71.6908,115.136,55.4665,91.8695,53.0035,53.701,71.2401,190.722,32.7553,56.8118,26.6101,89.6449,28.2027,159.38,486.061,13.3929
310,ADAMTS6|11174,21.6138,4.8316,40.8828,28.66,47.5028,46.1292,86.6142,57.4567,47.5687,9.8028,49.6183,22.4515,26.0181,77.6137,41.9186,99.9075,32.5747,121.281,54.0287,491.81,16.7374,103.645,43.7942,84.9765,27.7469,35.5324,74.2471,66.2571,14.2695,294.671,1.3434,1.5856,28.9834,15.5474,38.8098,19.6094,103.353,10.0959,113.207,103.782,12.1837,22.158,112.876,7.3274,69.1238,10.9943,84.1173,39.3939,7.8125
311,ADAMTS7|11173,102.786,1618.17,584.21,1204.49,154.803,1314.08,860.754,1328.98,853.593999999999,88.2255,1108.78,362.257,355.769,1531.81,615.343,409.806,1066.04,1171.62,112.755,1657.33,1144.62,646.025,118.642,235.211,530.892,443.918,194.704,2357.17,2200.1,278.549,771.788,516.385,375.956,469.013,514.877,146.79,1268.72,562.847,1728.59,1686.9,953.14,834.297,1051.77,140.764,1740.52,171.606,2229.11,1155.76,445.312
312,ADAMTS8|11095,0.4803,2.4158,0.5925,3.873,3.912,4.0112,94.0738,2.0399,1.0571,2.2279,1.2723,9.7087,1.6968,0.0,0.5374,5.5504,2.2311,6.1022,2.3491,0.431,7.5588,3.0742,3.5832,2.3474,1.4798,4.7377,0.5192,1.7552,3.2431,6.7174,4.0302,1.5856,9.1091,3.455,1.2937,3.9219,2.2967,0.5048,2.9028,0.8795,3.7488,2.8902,0.0,10.7983,0.54,3.8241,1.7709,3.6364,2.2321
